date,market_id,stall_id,commodity,paid_amount_php,label_weight_kg,actual_weight_kg
2026-01-01,MKT_03,MKT_03_STL_009,Carrots,17.52,0.792,0.792
2026-01-01,MKT_04,MKT_04_STL_013,Tilapia,557.72,3.591,3.369
2026-01-01,MKT_04,MKT_04_STL_036,Cabbage,183.8,3.26,3.075
2026-01-01,MKT_02,MKT_02_STL_024,Beef (Rump),1289.3,3.068,2.907
2026-01-01,MKT_04,MKT_04_STL_013,Garlic,232.65,1.818,1.673
2026-01-01,MKT_03,MKT_03_STL_029,Chicken (Whole),509.74,2.907,2.703
2026-01-01,MKT_03,MKT_03_STL_024,Chicken (Whole),361.22,2.06,2.06
2026-01-01,MKT_03,MKT_03_STL_013,Rice (Sinandomeng),72.97,1.437,1.44
2026-01-01,MKT_01,MKT_01_STL_013,Carrots,66.21,3.117,2.995
2026-01-01,MKT_04,MKT_04_STL_003,Pork,681.3,2.244,2.076
2026-01-01,MKT_01,MKT_01_STL_016,Tilapia,188.25,1.224,1.158
2026-01-01,MKT_02,MKT_02_STL_014,Chicken (Whole),114.26,0.648,0.602
2026-01-01,MKT_04,MKT_04_STL_004,Carrots,81.6,3.579,3.316
2026-01-02,MKT_02,MKT_02_STL_028,Garlic,300.94,2.613,2.414
2026-01-02,MKT_03,MKT_03_STL_008,Pork,254.72,0.817,0.759
2026-01-02,MKT_03,MKT_03_STL_027,Bangus,543.68,2.701,2.469
2026-01-02,MKT_04,MKT_04_STL_033,Garlic,252.98,3.059,2.91
2026-01-02,MKT_04,MKT_04_STL_012,Pork,780.26,2.584,2.587
2026-01-02,MKT_04,MKT_04_STL_022,Tomatoes,171.14,2.477,2.481
2026-01-02,MKT_01,MKT_01_STL_022,Tomatoes,253.73,3.453,3.268
2026-01-02,MKT_02,MKT_02_STL_016,Bangus,432.53,2.783,2.577
2026-01-02,MKT_02,MKT_02_STL_026,Whole Fish (Galunggong),259.18,1.468,1.47
2026-01-02,MKT_01,MKT_01_STL_024,Pork,423.15,1.33,1.332
2026-01-02,MKT_01,MKT_01_STL_026,Bangus,221.19,1.495,1.498
2026-01-02,MKT_01,MKT_01_STL_017,Beef (Rump),407.26,1.08,1.034
2026-01-02,MKT_01,MKT_01_STL_005,Chicken (Whole),393.9,2.328,2.331
2026-01-02,MKT_03,MKT_03_STL_010,Tomatoes,83.96,0.825,0.825
2026-01-02,MKT_05,MKT_05_STL_010,Bangus,262.96,1.246,1.155
2026-01-02,MKT_01,MKT_01_STL_021,Tomatoes,203.39,2.768,2.646
2026-01-02,MKT_02,MKT_02_STL_016,Pork,232.0,0.77,0.711
2026-01-02,MKT_02,MKT_02_STL_024,Whole Fish (Galunggong),354.87,2.01,1.838
2026-01-02,MKT_02,MKT_02_STL_024,Rice (Sinandomeng),125.63,2.557,2.459
2026-01-02,MKT_01,MKT_01_STL_019,Carrots,55.97,2.634,2.494
2026-01-02,MKT_02,MKT_02_STL_020,Potatoes,130.42,1.488,1.489
2026-01-02,MKT_01,MKT_01_STL_006,Carrots,47.66,2.243,2.046
2026-01-02,MKT_04,MKT_04_STL_032,Tomatoes,142.19,2.058,1.934
2026-01-02,MKT_03,MKT_03_STL_018,Pork,659.73,2.116,2.12
2026-01-02,MKT_03,MKT_03_STL_010,Tomatoes,87.93,0.864,0.864
2026-01-02,MKT_04,MKT_04_STL_039,Tilapia,253.0,1.587,1.5
2026-01-03,MKT_01,MKT_01_STL_009,Pork,497.01,1.742,1.596
2026-01-03,MKT_01,MKT_01_STL_012,Tilapia,120.31,0.791,0.741
2026-01-03,MKT_03,MKT_03_STL_015,Beef (Rump),1076.06,2.567,2.443
2026-01-03,MKT_02,MKT_02_STL_013,Carrots,80.79,3.674,3.403
2026-01-03,MKT_01,MKT_01_STL_024,Beef (Rump),970.24,2.59,2.588
2026-01-03,MKT_05,MKT_05_STL_009,Tilapia,256.32,1.961,1.96
2026-01-03,MKT_05,MKT_05_STL_008,Tomatoes,237.66,2.837,2.706
2026-01-03,MKT_03,MKT_03_STL_003,Chicken (Whole),112.44,0.633,0.576
2026-01-03,MKT_04,MKT_04_STL_026,Chicken (Whole),389.27,2.054,1.968
2026-01-03,MKT_03,MKT_03_STL_024,Beef (Rump),838.8,2.001,1.999
2026-01-03,MKT_01,MKT_01_STL_010,Tomatoes,332.79,3.393,3.4
2026-01-03,MKT_04,MKT_04_STL_022,Tilapia,81.81,0.668,0.668
2026-01-03,MKT_04,MKT_04_STL_034,Carrots,36.5,1.715,1.717
2026-01-03,MKT_02,MKT_02_STL_009,Cabbage,167.93,2.671,2.502
2026-01-03,MKT_02,MKT_02_STL_008,Cabbage,209.73,3.336,3.111
2026-01-03,MKT_01,MKT_01_STL_025,Garlic,107.75,1.197,1.199
2026-01-03,MKT_03,MKT_03_STL_020,Rice (Sinandomeng),99.78,2.048,1.967
2026-01-03,MKT_04,MKT_04_STL_015,Garlic,74.96,0.689,0.637
2026-01-03,MKT_02,MKT_02_STL_025,Rice (Sinandomeng),31.25,0.585,0.543
2026-01-03,MKT_03,MKT_03_STL_004,Beef (Rump),1239.54,2.957,2.962
2026-01-03,MKT_03,MKT_03_STL_004,Rice (Sinandomeng),146.21,3.001,3.006
2026-01-04,MKT_02,MKT_02_STL_023,Pork,651.25,2.166,1.991
2026-01-04,MKT_01,MKT_01_STL_020,Chicken (Whole),123.44,0.688,0.689
2026-01-04,MKT_03,MKT_03_STL_029,Tilapia,420.28,3.225,2.935
2026-01-04,MKT_03,MKT_03_STL_009,Bangus,258.27,1.474,1.473
2026-01-04,MKT_03,MKT_03_STL_011,Rice (Sinandomeng),85.57,1.466,1.465
2026-01-04,MKT_05,MKT_05_STL_007,Chicken (Whole),560.16,3.004,2.793
2026-01-04,MKT_03,MKT_03_STL_010,Tilapia,89.79,0.689,0.69
2026-01-04,MKT_02,MKT_02_STL_004,Whole Fish (Galunggong),349.6,1.888,1.745
2026-01-04,MKT_03,MKT_03_STL_014,Rice (Sinandomeng),116.16,1.99,1.816
2026-01-04,MKT_03,MKT_03_STL_021,Carrots,20.32,0.9,0.9
2026-01-04,MKT_05,MKT_05_STL_002,Garlic,209.33,1.626,1.628
2026-01-04,MKT_04,MKT_04_STL_018,Tomatoes,50.62,0.772,0.742
2026-01-04,MKT_01,MKT_01_STL_007,Pork,799.55,2.619,2.62
2026-01-04,MKT_04,MKT_04_STL_034,Beef (Rump),709.91,1.75,1.749
2026-01-04,MKT_03,MKT_03_STL_008,Tomatoes,273.97,2.712,2.577
2026-01-04,MKT_01,MKT_01_STL_016,Beef (Rump),964.08,2.203,2.069
2026-01-04,MKT_01,MKT_01_STL_011,Rice (Sinandomeng),108.48,2.328,2.332
2026-01-04,MKT_01,MKT_01_STL_009,Rice (Sinandomeng),133.04,2.855,2.652
2026-01-04,MKT_01,MKT_01_STL_026,Pork,727.51,2.383,2.382
2026-01-04,MKT_03,MKT_03_STL_024,Tilapia,228.71,1.755,1.756
2026-01-04,MKT_03,MKT_03_STL_033,Chicken (Whole),169.35,0.853,0.853
2026-01-04,MKT_01,MKT_01_STL_027,Pork,785.51,2.573,2.357
2026-01-04,MKT_02,MKT_02_STL_019,Red Onions,245.83,2.16,2.023
2026-01-05,MKT_04,MKT_04_STL_030,Beef (Rump),277.42,0.658,0.659
2026-01-05,MKT_04,MKT_04_STL_003,Rice (Sinandomeng),155.45,2.807,2.556
2026-01-05,MKT_02,MKT_02_STL_019,Tomatoes,138.18,2.092,1.993
2026-01-05,MKT_01,MKT_01_STL_028,Carrots,14.0,0.703,0.662
2026-01-05,MKT_03,MKT_03_STL_006,Chicken (Whole),324.5,1.912,1.804
2026-01-05,MKT_02,MKT_02_STL_011,Whole Fish (Galunggong),748.89,3.383,3.17
2026-01-05,MKT_04,MKT_04_STL_016,Pork,1021.08,2.981,2.721
2026-01-05,MKT_02,MKT_02_STL_008,Rice (Sinandomeng),57.4,1.015,0.974
2026-01-05,MKT_03,MKT_03_STL_027,Pork,234.21,0.752,0.713
2026-01-05,MKT_02,MKT_02_STL_016,Tomatoes,159.44,2.414,2.278
2026-01-05,MKT_01,MKT_01_STL_010,Chicken (Whole),497.91,2.743,2.741
2026-01-05,MKT_04,MKT_04_STL_016,Chicken (Whole),581.81,3.006,2.837
2026-01-05,MKT_04,MKT_04_STL_031,Pork,414.46,1.21,1.211
2026-01-05,MKT_04,MKT_04_STL_022,Chicken (Whole),314.52,1.625,1.627
2026-01-05,MKT_03,MKT_03_STL_021,Tomatoes,198.07,2.251,2.255
2026-01-05,MKT_04,MKT_04_STL_028,Bangus,179.38,1.024,0.935
2026-01-05,MKT_04,MKT_04_STL_005,Tomatoes,95.68,1.099,1.034
2026-01-05,MKT_03,MKT_03_STL_008,Tomatoes,252.18,2.866,2.659
2026-01-05,MKT_03,MKT_03_STL_019,Beef (Rump),486.44,1.105,1.107
2026-01-05,MKT_03,MKT_03_STL_013,Carrots,30.03,1.34,1.342
2026-01-05,MKT_04,MKT_04_STL_029,Tomatoes,171.51,1.97,1.876
2026-01-05,MKT_02,MKT_02_STL_018,Tilapia,190.72,1.227,1.16
2026-01-05,MKT_04,MKT_04_STL_016,Rice (Sinandomeng),171.35,3.094,2.869
2026-01-05,MKT_04,MKT_04_STL_012,Garlic,412.39,3.216,3.217
2026-01-05,MKT_04,MKT_04_STL_001,Red Onions,477.49,3.204,3.065
2026-01-05,MKT_05,MKT_05_STL_005,Red Onions,214.24,1.97,1.968
2026-01-06,MKT_01,MKT_01_STL_015,Tomatoes,116.2,1.45,1.338
2026-01-06,MKT_02,MKT_02_STL_016,Potatoes,316.7,3.289,3.118
2026-01-06,MKT_04,MKT_04_STL_038,Bangus,421.47,2.447,2.238
2026-01-06,MKT_04,MKT_04_STL_014,Garlic,313.5,3.656,3.339
2026-01-06,MKT_04,MKT_04_STL_018,Carrots,41.37,1.828,1.753
2026-01-06,MKT_01,MKT_01_STL_028,Tomatoes,231.6,2.89,2.7
2026-01-06,MKT_03,MKT_03_STL_031,Bangus,371.57,2.237,2.093
2026-01-06,MKT_03,MKT_03_STL_017,Pork,617.04,1.958,1.857
2026-01-06,MKT_05,MKT_05_STL_007,Red Onions,484.42,2.984,2.759
2026-01-06,MKT_03,MKT_03_STL_030,Bangus,555.6,3.345,3.35
2026-01-06,MKT_01,MKT_01_STL_020,Beef (Rump),520.71,1.218,1.217
2026-01-06,MKT_01,MKT_01_STL_014,Carrots,39.46,1.937,1.939
2026-01-06,MKT_03,MKT_03_STL_025,Tomatoes,248.06,3.075,3.074
2026-01-06,MKT_02,MKT_02_STL_024,Carrots,77.93,3.662,3.429
2026-01-06,MKT_03,MKT_03_STL_001,Rice (Sinandomeng),203.0,3.324,3.123
2026-01-06,MKT_02,MKT_02_STL_002,Whole Fish (Galunggong),638.64,3.357,3.115
2026-01-06,MKT_04,MKT_04_STL_005,Potatoes,206.38,2.62,2.4
2026-01-06,MKT_03,MKT_03_STL_003,Pork,564.1,1.79,1.655
2026-01-06,MKT_04,MKT_04_STL_020,Red Onions,78.53,0.637,0.598
2026-01-06,MKT_03,MKT_03_STL_007,Beef (Rump),1049.09,2.594,2.594
2026-01-06,MKT_02,MKT_02_STL_018,Garlic,326.7,3.135,2.883
2026-01-06,MKT_04,MKT_04_STL_021,Pork,787.95,2.359,2.361
2026-01-06,MKT_03,MKT_03_STL_008,Carrots,47.33,2.237,2.044
2026-01-06,MKT_03,MKT_03_STL_017,Tilapia,419.07,3.312,3.164
2026-01-06,MKT_04,MKT_04_STL_009,Tilapia,275.97,1.892,1.896
2026-01-06,MKT_05,MKT_05_STL_004,Tilapia,159.61,1.101,1.026
2026-01-06,MKT_03,MKT_03_STL_006,Pork,747.2,2.371,2.182
2026-01-06,MKT_02,MKT_02_STL_021,Rice (Sinandomeng),193.02,3.631,3.444
2026-01-06,MKT_02,MKT_02_STL_028,Pork,825.32,2.653,2.447
2026-01-06,MKT_04,MKT_04_STL_004,Whole Fish (Galunggong),511.13,2.459,2.24
2026-01-06,MKT_01,MKT_01_STL_008,Chicken (Whole),522.3,2.761,2.76
2026-01-06,MKT_03,MKT_03_STL_019,Tilapia,196.88,1.556,1.558
2026-01-06,MKT_03,MKT_03_STL_013,Bangus,220.75,1.329,1.331
2026-01-06,MKT_02,MKT_02_STL_021,Tilapia,253.48,1.987,1.857
2026-01-06,MKT_04,MKT_04_STL_024,Pork,637.64,1.909,1.91
2026-01-07,MKT_03,MKT_03_STL_031,Tomatoes,208.05,2.571,2.363
2026-01-07,MKT_01,MKT_01_STL_001,Pork,362.17,1.164,1.065
2026-01-07,MKT_05,MKT_05_STL_004,Pork,251.99,0.811,0.741
2026-01-07,MKT_01,MKT_01_STL_019,Beef (Rump),1486.28,3.526,3.375
2026-01-07,MKT_01,MKT_01_STL_029,Rice (Sinandomeng),65.01,1.328,1.328
2026-01-07,MKT_05,MKT_05_STL_004,Tomatoes,70.42,1.001,0.951
2026-01-07,MKT_01,MKT_01_STL_024,Carrots,28.74,1.381,1.38
2026-01-07,MKT_01,MKT_01_STL_001,Red Onions,400.54,3.52,3.295
2026-01-07,MKT_03,MKT_03_STL_032,Bangus,321.88,1.832,1.832
2026-01-07,MKT_02,MKT_02_STL_017,Beef (Rump),408.16,1.065,1.067
2026-01-07,MKT_03,MKT_03_STL_029,Chicken (Whole),613.96,3.219,3.005
2026-01-07,MKT_04,MKT_04_STL_018,Tilapia,265.22,1.84,1.735
2026-01-07,MKT_03,MKT_03_STL_030,Tilapia,256.73,1.958,1.958
2026-01-07,MKT_05,MKT_05_STL_009,Red Onions,464.37,3.024,3.026
2026-01-07,MKT_04,MKT_04_STL_020,Beef (Rump),1127.89,2.409,2.202
2026-01-07,MKT_04,MKT_04_STL_034,Beef (Rump),474.75,1.014,1.015
2026-01-07,MKT_04,MKT_04_STL_027,Tomatoes,189.65,1.709,1.616
2026-01-07,MKT_03,MKT_03_STL_022,Carrots,20.79,0.944,0.945
2026-01-07,MKT_03,MKT_03_STL_019,Rice (Sinandomeng),116.24,2.352,2.356
2026-01-07,MKT_02,MKT_02_STL_025,Red Onions,155.99,1.489,1.356
2026-01-07,MKT_04,MKT_04_STL_017,Potatoes,246.32,2.579,2.579
2026-01-07,MKT_05,MKT_05_STL_005,Rice (Sinandomeng),54.76,0.982,0.984
2026-01-07,MKT_03,MKT_03_STL_010,Tilapia,291.35,2.222,2.224
2026-01-07,MKT_04,MKT_04_STL_037,Tilapia,163.02,1.131,1.053
2026-01-07,MKT_02,MKT_02_STL_026,Carrots,51.38,2.499,2.497
2026-01-07,MKT_03,MKT_03_STL_025,Rice (Sinandomeng),79.96,1.618,1.619
2026-01-07,MKT_01,MKT_01_STL_003,Rice (Sinandomeng),107.69,2.2,2.101
2026-01-07,MKT_04,MKT_04_STL_039,Carrots,42.86,1.834,1.714
2026-01-07,MKT_01,MKT_01_STL_022,Rice (Sinandomeng),179.3,3.663,3.343
2026-01-08,MKT_04,MKT_04_STL_029,Carrots,80.51,3.658,3.41
2026-01-08,MKT_04,MKT_04_STL_017,Red Onions,140.57,1.494,1.494
2026-01-08,MKT_03,MKT_03_STL_033,Tomatoes,231.79,3.191,3.188
2026-01-08,MKT_01,MKT_01_STL_019,Garlic,216.89,2.721,2.501
2026-01-08,MKT_03,MKT_03_STL_015,Tomatoes,115.28,1.587,1.516
2026-01-08,MKT_02,MKT_02_STL_016,Tomatoes,239.32,3.356,3.201
2026-01-08,MKT_04,MKT_04_STL_012,Red Onions,79.88,0.849,0.851
2026-01-08,MKT_04,MKT_04_STL_009,Garlic,345.27,3.021,3.023
2026-01-08,MKT_04,MKT_04_STL_002,Pork,505.51,1.592,1.479
2026-01-08,MKT_03,MKT_03_STL_031,Chicken (Whole),384.96,2.37,2.25
2026-01-08,MKT_04,MKT_04_STL_034,Whole Fish (Galunggong),286.38,1.331,1.334
2026-01-08,MKT_02,MKT_02_STL_020,Red Onions,277.43,3.048,3.048
2026-01-08,MKT_02,MKT_02_STL_030,Pork,1145.14,3.646,3.428
2026-01-08,MKT_04,MKT_04_STL_008,Tomatoes,120.74,1.453,1.453
2026-01-08,MKT_04,MKT_04_STL_040,Carrots,70.92,3.222,3.225
2026-01-08,MKT_01,MKT_01_STL_025,Rice (Sinandomeng),125.1,2.646,2.648
2026-01-08,MKT_04,MKT_04_STL_005,Bangus,314.5,1.71,1.618
2026-01-08,MKT_01,MKT_01_STL_004,Tilapia,218.55,1.519,1.424
2026-01-08,MKT_01,MKT_01_STL_025,Red Onions,94.79,0.763,0.763
2026-01-08,MKT_02,MKT_02_STL_001,Tomatoes,206.94,2.902,2.725
2026-01-08,MKT_03,MKT_03_STL_002,Tomatoes,99.3,1.367,1.366
2026-01-08,MKT_05,MKT_05_STL_002,Bangus,520.94,2.684,2.686
2026-01-08,MKT_05,MKT_05_STL_005,Garlic,193.53,2.29,2.294
2026-01-08,MKT_03,MKT_03_STL_023,Beef (Rump),828.97,2.101,1.924
2026-01-09,MKT_04,MKT_04_STL_001,Pork,1088.53,3.548,3.299
2026-01-09,MKT_04,MKT_04_STL_026,Bangus,156.07,0.814,0.765
2026-01-09,MKT_01,MKT_01_STL_015,Beef (Rump),760.24,1.872,1.744
2026-01-09,MKT_04,MKT_04_STL_009,Potatoes,199.22,2.206,2.204
2026-01-09,MKT_04,MKT_04_STL_027,Chicken (Whole),190.53,1.125,1.058
2026-01-09,MKT_04,MKT_04_STL_006,Red Onions,204.58,2.148,1.972
2026-01-09,MKT_04,MKT_04_STL_027,Beef (Rump),1319.19,3.179,3.004
2026-01-09,MKT_04,MKT_04_STL_018,Red Onions,272.86,2.865,2.72
2026-01-09,MKT_02,MKT_02_STL_002,Whole Fish (Galunggong),103.67,0.535,0.507
2026-01-09,MKT_02,MKT_02_STL_026,Cabbage,188.97,3.001,3.003
2026-01-09,MKT_01,MKT_01_STL_008,Beef (Rump),710.69,1.75,1.751
2026-01-09,MKT_03,MKT_03_STL_023,Chicken (Whole),122.78,0.635,0.585
2026-01-09,MKT_03,MKT_03_STL_002,Tomatoes,219.68,3.477,3.483
2026-01-09,MKT_05,MKT_05_STL_006,Tilapia,300.26,2.409,2.243
2026-01-09,MKT_01,MKT_01_STL_025,Beef (Rump),967.76,2.383,2.384
2026-01-09,MKT_03,MKT_03_STL_003,Pork,540.32,1.756,1.62
2026-01-09,MKT_03,MKT_03_STL_017,Carrots,68.93,3.187,3.036
2026-01-09,MKT_03,MKT_03_STL_023,Carrots,21.65,1.001,0.938
2026-01-09,MKT_01,MKT_01_STL_028,Rice (Sinandomeng),80.61,1.64,1.572
2026-01-09,MKT_04,MKT_04_STL_007,Tilapia,266.67,1.926,1.759
2026-01-09,MKT_04,MKT_04_STL_020,Tilapia,94.57,0.683,0.646
2026-01-09,MKT_05,MKT_05_STL_005,Pork,698.28,2.043,2.042
2026-01-09,MKT_04,MKT_04_STL_023,Rice (Sinandomeng),171.4,3.006,2.794
2026-01-09,MKT_03,MKT_03_STL_021,Rice (Sinandomeng),117.09,2.132,2.131
2026-01-09,MKT_04,MKT_04_STL_006,Cabbage,202.07,3.063,2.9
2026-01-09,MKT_01,MKT_01_STL_024,Tilapia,106.93,0.788,0.788
2026-01-09,MKT_05,MKT_05_STL_007,Rice (Sinandomeng),31.25,0.577,0.539
2026-01-09,MKT_04,MKT_04_STL_021,Tilapia,392.4,2.834,2.836
2026-01-09,MKT_05,MKT_05_STL_002,Rice (Sinandomeng),43.65,0.806,0.807
2026-01-09,MKT_03,MKT_03_STL_016,Chicken (Whole),579.31,2.996,2.995
2026-01-10,MKT_01,MKT_01_STL_027,Bangus,287.5,1.965,1.881
2026-01-10,MKT_04,MKT_04_STL_034,Rice (Sinandomeng),195.85,3.268,3.27
2026-01-10,MKT_03,MKT_03_STL_021,Beef (Rump),1191.07,2.569,2.573
2026-01-10,MKT_03,MKT_03_STL_032,Tomatoes,303.62,3.168,3.169
2026-01-10,MKT_04,MKT_04_STL_039,Whole Fish (Galunggong),750.18,3.582,3.41
2026-01-10,MKT_01,MKT_01_STL_026,Beef (Rump),225.97,0.586,0.586
2026-01-10,MKT_04,MKT_04_STL_012,Chicken (Whole),156.47,0.886,0.886
2026-01-10,MKT_01,MKT_01_STL_021,Chicken (Whole),261.39,1.497,1.422
2026-01-10,MKT_04,MKT_04_STL_012,Pork,563.58,1.775,1.774
2026-01-10,MKT_02,MKT_02_STL_013,Pork,248.95,0.796,0.733
2026-01-10,MKT_02,MKT_02_STL_009,Whole Fish (Galunggong),423.27,1.887,1.794
2026-01-10,MKT_02,MKT_02_STL_003,Carrots,62.77,3.083,2.879
2026-01-10,MKT_02,MKT_02_STL_024,Carrots,42.49,2.087,1.907
2026-01-10,MKT_01,MKT_01_STL_003,Carrots,15.98,0.755,0.699
2026-01-10,MKT_04,MKT_04_STL_025,Whole Fish (Galunggong),165.24,0.789,0.79
2026-01-10,MKT_04,MKT_04_STL_036,Garlic,149.26,1.221,1.116
2026-01-10,MKT_03,MKT_03_STL_006,Rice (Sinandomeng),135.85,2.617,2.512
2026-01-10,MKT_01,MKT_01_STL_013,Rice (Sinandomeng),176.91,3.331,3.038
2026-01-10,MKT_04,MKT_04_STL_026,Garlic,198.15,1.621,1.544
2026-01-10,MKT_04,MKT_04_STL_030,Red Onions,314.5,2.842,2.842
2026-01-10,MKT_01,MKT_01_STL_017,Red Onions,314.41,2.313,2.211
2026-01-10,MKT_01,MKT_01_STL_028,Garlic,250.53,2.99,2.79
2026-01-10,MKT_02,MKT_02_STL_022,Potatoes,90.46,1.136,1.075
2026-01-11,MKT_04,MKT_04_STL_037,Potatoes,62.56,0.838,0.796
2026-01-11,MKT_04,MKT_04_STL_002,Red Onions,457.67,3.263,3.054
2026-01-11,MKT_03,MKT_03_STL_015,Rice (Sinandomeng),95.63,1.996,1.819
2026-01-11,MKT_03,MKT_03_STL_015,Rice (Sinandomeng),158.15,3.301,3.004
2026-01-11,MKT_03,MKT_03_STL_017,Bangus,185.19,1.204,1.143
2026-01-11,MKT_01,MKT_01_STL_009,Pork,884.16,2.948,2.784
2026-01-11,MKT_03,MKT_03_STL_028,Tomatoes,59.19,0.83,0.831
2026-01-11,MKT_04,MKT_04_STL_009,Whole Fish (Galunggong),385.6,1.582,1.584
2026-01-11,MKT_03,MKT_03_STL_009,Carrots,16.34,0.747,0.747
2026-01-11,MKT_03,MKT_03_STL_003,Bangus,223.64,1.454,1.351
2026-01-11,MKT_04,MKT_04_STL_013,Beef (Rump),1214.73,2.793,2.561
2026-01-11,MKT_03,MKT_03_STL_008,Chicken (Whole),417.54,2.286,2.162
2026-01-11,MKT_04,MKT_04_STL_037,Bangus,174.35,1.113,1.066
2026-01-11,MKT_03,MKT_03_STL_010,Tomatoes,236.32,3.314,3.317
2026-01-11,MKT_01,MKT_01_STL_006,Carrots,73.17,3.739,3.496
2026-01-11,MKT_03,MKT_03_STL_012,Pork,540.86,1.81,1.689
2026-01-11,MKT_03,MKT_03_STL_022,Pork,256.09,0.857,0.858
2026-01-11,MKT_02,MKT_02_STL_015,Potatoes,214.64,2.377,2.272
2026-01-11,MKT_02,MKT_02_STL_008,Rice (Sinandomeng),42.47,0.762,0.694
2026-01-11,MKT_01,MKT_01_STL_014,Tilapia,135.55,1.102,1.101
2026-01-12,MKT_04,MKT_04_STL_001,Pork,405.55,1.278,1.199
2026-01-12,MKT_03,MKT_03_STL_017,Tomatoes,111.56,1.447,1.336
2026-01-12,MKT_04,MKT_04_STL_038,Garlic,268.75,2.476,2.281
2026-01-12,MKT_02,MKT_02_STL_026,Whole Fish (Galunggong),485.8,2.429,2.431
2026-01-12,MKT_02,MKT_02_STL_003,Tomatoes,183.75,2.743,2.5
2026-01-12,MKT_01,MKT_01_STL_005,Tomatoes,182.53,2.031,2.034
2026-01-12,MKT_03,MKT_03_STL_028,Tomatoes,63.45,0.823,0.824
2026-01-12,MKT_02,MKT_02_STL_018,Tomatoes,87.56,1.307,1.192
2026-01-12,MKT_04,MKT_04_STL_031,Carrots,17.7,0.798,0.799
2026-01-12,MKT_03,MKT_03_STL_010,Pork,650.39,1.99,1.994
2026-01-12,MKT_04,MKT_04_STL_014,Rice (Sinandomeng),101.59,1.781,1.648
2026-01-12,MKT_05,MKT_05_STL_009,Rice (Sinandomeng),75.44,1.408,1.408
2026-01-12,MKT_02,MKT_02_STL_004,Whole Fish (Galunggong),158.4,0.792,0.73
2026-01-12,MKT_02,MKT_02_STL_020,Whole Fish (Galunggong),395.2,1.976,1.977
2026-01-12,MKT_02,MKT_02_STL_016,Beef (Rump),1193.41,2.659,2.486
2026-01-12,MKT_04,MKT_04_STL_001,Beef (Rump),1036.73,2.315,2.127
2026-01-12,MKT_04,MKT_04_STL_034,Red Onions,215.34,2.142,2.14
2026-01-12,MKT_05,MKT_05_STL_007,Carrots,85.59,3.794,3.472
2026-01-12,MKT_04,MKT_04_STL_005,Pork,554.69,1.748,1.651
2026-01-12,MKT_04,MKT_04_STL_005,Bangus,396.58,1.905,1.828
2026-01-12,MKT_03,MKT_03_STL_020,Rice (Sinandomeng),119.59,2.369,2.17
2026-01-12,MKT_02,MKT_02_STL_019,Beef (Rump),1486.04,3.311,3.154
2026-01-12,MKT_05,MKT_05_STL_003,Bangus,203.35,0.978,0.903
2026-01-12,MKT_05,MKT_05_STL_009,Tomatoes,206.28,2.791,2.792
2026-01-12,MKT_04,MKT_04_STL_003,Tomatoes,195.93,2.681,2.48
2026-01-12,MKT_03,MKT_03_STL_020,Tomatoes,162.22,2.104,1.928
2026-01-12,MKT_02,MKT_02_STL_006,Red Onions,71.53,0.704,0.667
2026-01-12,MKT_04,MKT_04_STL_024,Garlic,370.34,3.412,3.413
2026-01-12,MKT_05,MKT_05_STL_002,Tilapia,420.38,2.796,2.799
2026-01-12,MKT_02,MKT_02_STL_009,Carrots,12.81,0.609,0.584
